game_id,season,week,gameday,home_team,away_team,home_score,away_score,home_win,winner_team
2010_W13_OAK_at_SD,2010,13,2010-12-05,SD,OAK,13,28,0,OAK
2010_W13_PIT_at_BAL,2010,13,2010-12-05,BAL,PIT,10,13,0,PIT
2010_W13_SF_at_GB,2010,13,2010-12-05,GB,SF,34,16,1,GB
2010_W13_STL_at_ARI,2010,13,2010-12-05,ARI,STL,6,19,0,STL
2010_W13_WAS_at_NYG,2010,13,2010-12-05,NYG,WAS,31,7,1,NYG
2010_W13_NYJ_at_NE,2010,13,2010-12-06,NE,NYJ,45,3,1,NE
2010_W14_IND_at_TEN,2010,14,2010-12-09,TEN,IND,28,30,0,IND
2010_W14_ATL_at_CAR,2010,14,2010-12-12,CAR,ATL,10,31,0,ATL
2010_W14_CIN_at_PIT,2010,14,2010-12-12,PIT,CIN,23,7,1,PIT
2010_W14_CLE_at_BUF,2010,14,2010-12-12,BUF,CLE,13,6,1,BUF
2010_W14_DEN_at_ARI,2010,14,2010-12-12,ARI,DEN,43,13,1,ARI
2010_W14_GB_at_DET,2010,14,2010-12-12,DET,GB,7,3,1,DET
2010_W14_KC_at_SD,2010,14,2010-12-12,SD,KC,31,0,1,SD
2010_W14_MIA_at_NYJ,2010,14,2010-12-12,NYJ,MIA,6,10,0,MIA
2010_W14_NE_at_CHI,2010,14,2010-12-12,CHI,NE,7,36,0,NE
2010_W14_OAK_at_JAX,2010,14,2010-12-12,JAX,OAK,38,31,1,JAX
2010_W14_PHI_at_DAL,2010,14,2010-12-12,DAL,PHI,27,30,0,PHI
2010_W14_SEA_at_SF,2010,14,2010-12-12,SF,SEA,40,21,1,SF
2010_W14_STL_at_NO,2010,14,2010-12-12,NO,STL,31,13,1,NO
2010_W14_TB_at_WAS,2010,14,2010-12-12,WAS,TB,16,17,0,TB
2010_W14_BAL_at_HOU,2010,14,2010-12-13,HOU,BAL,28,34,0,BAL
2010_W14_NYG_at_MIN,2010,14,2010-12-13,MIN,NYG,3,21,0,NYG
2010_W15_SF_at_SD,2010,15,2010-12-16,SD,SF,34,7,1,SD
2010_W15_ARI_at_CAR,2010,15,2010-12-19,CAR,ARI,19,12,1,CAR
2010_W15_ATL_at_SEA,2010,15,2010-12-19,SEA,ATL,18,34,0,ATL
2010_W15_BUF_at_MIA,2010,15,2010-12-19,MIA,BUF,14,17,0,BUF
2010_W15_CLE_at_CIN,2010,15,2010-12-19,CIN,CLE,19,17,1,CIN
2010_W15_DEN_at_OAK,2010,15,2010-12-19,OAK,DEN,39,23,1,OAK
2010_W15_DET_at_TB,2010,15,2010-12-19,TB,DET,20,23,0,DET
2010_W15_GB_at_NE,2010,15,2010-12-19,NE,GB,31,27,1,NE
2010_W15_HOU_at_TEN,2010,15,2010-12-19,TEN,HOU,31,17,1,TEN
2010_W15_JAX_at_IND,2010,15,2010-12-19,IND,JAX,34,24,1,IND
2010_W15_KC_at_STL,2010,15,2010-12-19,STL,KC,13,27,0,KC
2010_W15_NO_at_BAL,2010,15,2010-12-19,BAL,NO,30,24,1,BAL
2010_W15_NYJ_at_PIT,2010,15,2010-12-19,PIT,NYJ,17,22,0,NYJ
2010_W15_PHI_at_NYG,2010,15,2010-12-19,NYG,PHI,31,38,0,PHI
2010_W15_WAS_at_DAL,2010,15,2010-12-19,DAL,WAS,33,30,1,DAL
2010_W15_CHI_at_MIN,2010,15,2010-12-20,MIN,CHI,14,40,0,CHI
2010_W16_CAR_at_PIT,2010,16,2010-12-23,PIT,CAR,27,3,1,PIT
2010_W16_DAL_at_ARI,2010,16,2010-12-25,ARI,DAL,27,26,1,ARI
2010_W16_BAL_at_CLE,2010,16,2010-12-26,CLE,BAL,10,20,0,BAL
2010_W16_DET_at_MIA,2010,16,2010-12-26,MIA,DET,27,34,0,DET
2010_W16_HOU_at_DEN,2010,16,2010-12-26,DEN,HOU,24,23,1,DEN
2010_W16_IND_at_OAK,2010,16,2010-12-26,OAK,IND,26,31,0,IND
2010_W16_NE_at_BUF,2010,16,2010-12-26,BUF,NE,3,34,0,NE
2010_W16_NYG_at_GB,2010,16,2010-12-26,GB,NYG,45,17,1,GB
2010_W16_NYJ_at_CHI,2010,16,2010-12-26,CHI,NYJ,38,34,1,CHI
2010_W16_SD_at_CIN,2010,16,2010-12-26,CIN,SD,34,20,1,CIN
2010_W16_SEA_at_TB,2010,16,2010-12-26,TB,SEA,38,15,1,TB
2010_W16_SF_at_STL,2010,16,2010-12-26,STL,SF,25,17,1,STL
2010_W16_TEN_at_KC,2010,16,2010-12-26,KC,TEN,34,14,1,KC
2010_W16_WAS_at_JAX,2010,16,2010-12-26,JAX,WAS,17,20,0,WAS
2010_W16_NO_at_ATL,2010,16,2010-12-27,ATL,NO,14,17,0,NO
2010_W16_MIN_at_PHI,2010,16,2010-12-28,PHI,MIN,14,24,0,MIN
2010_W17_ARI_at_SF,2010,17,2011-01-02,SF,ARI,38,7,1,SF
2010_W17_BUF_at_NYJ,2010,17,2011-01-02,NYJ,BUF,38,7,1,NYJ
2010_W17_CAR_at_ATL,2010,17,2011-01-02,ATL,CAR,31,10,1,ATL
2010_W17_CHI_at_GB,2010,17,2011-01-02,GB,CHI,10,3,1,GB
2010_W17_CIN_at_BAL,2010,17,2011-01-02,BAL,CIN,13,7,1,BAL
2010_W17_DAL_at_PHI,2010,17,2011-01-02,PHI,DAL,13,14,0,DAL
2010_W17_JAX_at_HOU,2010,17,2011-01-02,HOU,JAX,34,17,1,HOU
2010_W17_MIA_at_NE,2010,17,2011-01-02,NE,MIA,38,7,1,NE
